ID,originalMoleculeSMILES,deglycosylatedMoleculeSMILES,hadOrHasSugars,SugarMoietySMILES
TPCN01465,CC(=O)OC1C(OC(=O)c2ccoc2)CC(C)C23OC(C)(C)C(CC(OC(=O)c4ccccc4)C12C)C3OC(=O)c1ccoc1,CC(=O)OC1C(OC(=O)c2ccoc2)CC(C)C23OC(C)(C)C(CC(OC(=O)c4ccccc4)C12C)C3OC(=O)c1ccoc1,false,[]
TPCN01466,C=C1C(=O)OC2C=C(C)C(OC(=O)C(C)CC)CC=C(C)CCC12,C=C1C(=O)OC2C=C(C)C(OC(=O)C(C)CC)CC=C(C)CCC12,false,[]
TPCN01467,C=C1C(=O)OC2C1C(OC(=O)CC(C)C)C=C(C)C1(O)CC(O)C(C)(O)C21,C=C1C(=O)OC2C1C(OC(=O)CC(C)C)C=C(C)C1(O)CC(O)C(C)(O)C21,false,[]
TPCN01468,C=C1C(=O)OC2C1C(OC(C)=O)C=C(C)C1(O)CC(O)C(C)(O)C21,C=C1C(=O)OC2C1C(OC(C)=O)C=C(C)C1(O)CC(O)C(C)(O)C21,false,[]
TPCN01469,CC(=O)C1=C(Oc2oc3cc4c(c(C)c3c2C)C(C)CCC4)CC2CCCC(C)C2(C)C1,CC(=O)C1=C(Oc2oc3cc4c(c(C)c3c2C)C(C)CCC4)CC2CCCC(C)C2(C)C1,false,[]
TPCN01470,C=C1C(=O)OC2CC3(C)C(O)CC=C(C)C3C(O)C12,C=C1C(=O)OC2CC3(C)C(O)CC=C(C)C3C(O)C12,false,[]
TPCN01471,CC=C(C)C(=O)OC1CCC2(C)C(COc3ccc4ccc(=O)oc4c3)C(C)(O)CCC2C1(C)C,CC=C(C)C(=O)OC1CCC2(C)C(COc3ccc4ccc(=O)oc4c3)C(C)(O)CCC2C1(C)C,false,[]
TPCN01472,CC(C)=CC(=O)CC(C)=CCCC1(C)Oc2oc3cc(O)ccc3c(=O)c2C1C,CC(C)=CC(=O)CC(C)=CCCC1(C)Oc2oc3cc(O)ccc3c(=O)c2C1C,false,[]
TPCN01473,CC1CCC2(O)C13CC1(O)OC(OCC2(C)C1(C)O)C3OC(=O)c1ccccc1,CC1CCC2(O)C13CC1(O)OC(OCC2(C)C1(C)O)C3OC(=O)c1ccccc1,false,[]
TPCN01474,C=C1CC(OC(C)=O)C(C(C)C)C(OC(C)=O)C2OC2(C)C(OC(C)=O)CC1=O,C=C1CC(OC(C)=O)C(C(C)C)C(OC(C)=O)C2OC2(C)C(OC(C)=O)CC1=O,false,[]
TPCN01475,CC(=O)OC1CCC(C)C23OC(C)(C)C(CC(OCc4ccccc4)C12C)C3OCc1ccccc1,CC(=O)OC1CCC(C)C23OC(C)(C)C(CC(OCc4ccccc4)C12C)C3OCc1ccccc1,false,[]
TPCN01476,CC(=O)OC1CCC2=CC(=O)C3(C(C)=O)OC3C2(C)C1C,CC(=O)OC1CCC2=CC(=O)C3(C(C)=O)OC3C2(C)C1C,false,[]
TPCN01477,CC(=O)OCC(C)=CCCC(C)=CCCC(C)=CCOC1OC(COC2OC(C)C(O)C(OC(C)=O)C2O)C(O)C(O)C1O,CC(=O)OCC(C)=CCCC(C)=CCCC(C)=CCO,true,"['O1[CH][CH][CH][CH][CH]1', 'O1[CH][CH][CH][CH][CH]1']"
TPCN01478,COC(=O)C(C)C1=CC2(C)C(=CC1=O)CCC(OC(C)=O)C2C,COC(=O)C(C)C1=CC2(C)C(=CC1=O)CCC(OC(C)=O)C2C,false,[]
TPCN01479,COC12CC3C(=O)CCC(C)C3(C)CC1=C(C)C(=O)N2,COC12CC3C(=O)CCC(C)C3(C)CC1=C(C)C(=O)N2,false,[]
TPCN01480,COC1C2=C(C)C(=O)OC2(OC)CC2(O)CCC(OC(C)=O)C(C)C12C,COC1C2=C(C)C(=O)OC2(OC)CC2(O)CCC(OC(C)=O)C(C)C12C,false,[]
TPCN01481,C=C(C)C(=O)OC1CC(C)C2(OC)CCC(C)(C=C3OC(=O)C(COC(C)=O)=C31)O2,C=C(C)C(=O)OC1CC(C)C2(OC)CCC(C)(C=C3OC(=O)C(COC(C)=O)=C31)O2,false,[]
TPCN01482,CC1=C2C(CC3(C)OC3CCC3(C)OC3C2O)OC1=O,CC1=C2C(CC3(C)OC3CCC3(C)OC3C2O)OC1=O,false,[]
