row,columns,similarity,row_content,columns_content,fold
TPCN05225,TPCN04523,0.9888751545117428,3.3e-05,0.297586,9017.757575757576
TPCN05892,TPCN05509,0.9651995905834186,3.146939,0.00035,8991.254285714287
TPCN05891,TPCN04500,0.9969072164948454,3.744898,0.000429,8729.365967365968
TPCN05655,TPCN04759,0.9579646017699116,2.6,0.0003,8666.666666666668
TPCN05655,TPCN03923,0.9736842105263158,2.6,0.000303,8580.85808580858
TPCN04175,TPCN04151,0.9775413711583923,0.24,2.8e-05,8571.42857142857
TPCN05655,TPCN03921,0.970620239390642,2.6,0.00031,8387.09677419355
TPCN05225,TPCN04514,0.9888751545117428,3.3e-05,0.276552,8380.363636363636
TPCN05221,TPCN04523,0.9888751545117428,3.6e-05,0.297586,8266.277777777777
TPCN04812,TPCN04138,0.971395881006865,0.32,3.9e-05,8205.128205128205
TPCN05889,TPCN03802,1.0,1.1e-05,0.09,8181.818181818182
TPCN05888,TPCN03802,0.9718785151856018,1.1e-05,0.09,8181.818181818182
TPCN04181,TPCN04094,0.9626955475330926,0.588889,7.6e-05,7748.53947368421
TPCN05221,TPCN04514,0.9888751545117428,3.6e-05,0.276552,7682.0
TPCN05249,TPCN05234,0.9803921568627452,0.083333,1.1e-05,7575.727272727273
TPCN05896,TPCN04151,0.9632183908045976,0.210526,2.8e-05,7518.785714285714
TPCN05835,TPCN04810,0.9579439252336448,0.00012,0.9,7500.0
TPCN05892,TPCN04500,0.9690721649484536,3.146939,0.000429,7335.522144522144
TPCN05910,TPCN05654,0.9557522123893806,0.066,9e-06,7333.333333333334
TPCN04176,TPCN04151,0.9773809523809524,0.205,2.8e-05,7321.428571428571
TPCN04816,TPCN04170,0.9679358717434868,0.114286,1.6e-05,7142.875
TPCN05891,TPCN05485,0.9681069958847736,3.744898,0.000525,7133.139047619048
TPCN06178,TPCN05655,0.9506437768240344,0.000367,2.6,7084.4686648501365
TPCN05658,TPCN04138,0.9583333333333334,0.275,3.9e-05,7051.282051282052
TPCN05643,TPCN04175,0.9556592765460912,3.6e-05,0.24,6666.666666666666
TPCN05659,TPCN04778,0.9562780269058296,0.192143,2.9e-05,6625.620689655173
TPCN05898,TPCN05875,0.9727582292849036,0.15,2.3e-05,6521.739130434782
TPCN05885,TPCN03802,0.9621559633027524,1.4e-05,0.09,6428.571428571428
TPCN05886,TPCN03802,0.9718785151856018,1.4e-05,0.09,6428.571428571428
TPCN04175,TPCN04138,0.9558652729384436,0.24,3.9e-05,6153.846153846153
TPCN05900,TPCN05875,0.9727582292849036,0.14,2.3e-05,6086.956521739131
TPCN05788,TPCN05655,0.9824945295404814,0.000429,2.6,6060.606060606061
TPCN05229,TPCN04422,0.9585308056872038,2e-05,0.12,5999.999999999999
TPCN05892,TPCN05485,0.9544041450777202,3.146939,0.000525,5994.169523809524
TPCN05901,TPCN04164,0.9503105590062112,0.13125,2.2e-05,5965.909090909091
TPCN03627,TPCN02014,0.9821428571428572,0.094444,1.6e-05,5902.75
TPCN05891,TPCN04436,0.9721649484536082,3.744898,0.00064,5851.403125
TPCN05241,TPCN04834,0.9746376811594204,8e-06,0.046207,5775.875
TPCN05240,TPCN04834,0.9746376811594204,8e-06,0.046207,5775.875
TPCN05239,TPCN04834,0.9878934624697336,8e-06,0.046207,5775.875
TPCN05237,TPCN04834,0.976997578692494,8e-06,0.046207,5775.875
TPCN05238,TPCN04834,0.9794188861985472,8e-06,0.046207,5775.875
TPCN05662,TPCN04785,0.9543973941368078,0.1325,2.3e-05,5760.869565217392
TPCN05636,TPCN04813,0.9534391534391534,5.1e-05,0.29,5686.274509803921
TPCN05660,TPCN04778,0.9520089285714286,0.164286,2.9e-05,5665.0344827586205
TPCN04181,TPCN04050,0.9772727272727272,0.588889,0.000105,5608.466666666666
TPCN04812,TPCN04110,0.965675057208238,0.32,5.9e-05,5423.728813559323
TPCN05896,TPCN04138,0.9758620689655172,0.210526,3.9e-05,5398.1025641025635
TPCN05237,TPCN04654,0.9913258983890956,8e-06,0.042414,5301.75
TPCN05238,TPCN04654,0.9888751545117428,8e-06,0.042414,5301.75
TPCN05240,TPCN04654,0.9888751545117428,8e-06,0.042414,5301.75
TPCN05241,TPCN04654,0.9888751545117428,8e-06,0.042414,5301.75
TPCN05239,TPCN04654,0.9803921568627452,8e-06,0.042414,5301.75
TPCN05658,TPCN05635,0.9977477477477478,0.275,5.2e-05,5288.461538461539
