Specie,Counts,Percentages(%),Min,Max,Mean,Median,Contents
Euphorbia micractina,1,0.02,1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.1e-05~1.1e-05
Casearia sylvestris,1,0.02,0.023,0.023,0.023,0.023,0.023~0.023
Isodon megathyrsus,1,0.02,0.012174,0.012174,0.012174,0.012174,0.012174~0.012174
Scientific name,1,0.02,0.003727,0.003727,0.003727,0.003727,0.003727~0.003727
Incarvillea sinensis,1,0.02,0.000497,0.000497,0.000497,0.000497,0.000497~0.000497
Lippia dulcis,1,0.02,0.000864,0.000864,0.000864,0.000864,0.000864~0.000864
Aegialophila pumila,1,0.02,0.026667,0.026667,0.026667,0.026667,0.026667~0.026667
Swietenia macrophylla,1,0.02,3.5e-05,3.5e-05,3.5e-05,3.5e-05,3.5e-05~3.5e-05
Euonymus hederaceus,1,0.02,0.0002,0.0002,0.0002,0.0002,0.0002~0.0002
Rhus trichocarpa,1,0.02,0.000168,0.000168,0.000168,0.000168,0.000168~0.000168
Alysicarpus monolifer,1,0.02,0.00012,0.00012,0.00012,0.00012,0.00012~0.00012
Madhuca latifolia,1,0.02,9.4e-05,9.4e-05,9.4e-05,9.4e-05,9.4e-05~9.4e-05
Maytenus imbricata,1,0.02,0.1,0.1,0.1,0.1,0.1~0.1
Senecio selloi,1,0.02,5.4e-05,5.4e-05,5.4e-05,5.4e-05,5.4e-05~5.4e-05
Tamarix hispida,1,0.02,0.000667,0.000667,0.000667,0.000667,0.000667~0.000667
Asphodelus tenuifolius,1,0.02,0.000213,0.000213,0.000213,0.000213,0.000213~0.000213
Homalium ceylanicum,1,0.02,0.00067,0.00067,0.00067,0.00067,0.00067~0.00067
Gymnopetalum integrifolium,1,0.02,0.001267,0.001267,0.001267,0.001267,0.001267~0.001267
Adiantum philippense,1,0.02,0.0016,0.0016,0.0016,0.0016,0.0016~0.0016
Teucrium royleanum,1,0.02,0.00011,0.00011,0.00011,0.00011,0.00011~0.00011
Cucubalus baccifer,1,0.02,0.000125,0.000125,0.000125,0.000125,0.000125~0.000125
Tilia kiusiana,1,0.02,0.002299,0.002299,0.002299,0.002299,0.002299~0.002299
Salvia nubicola,1,0.02,5.6e-05,5.6e-05,5.6e-05,5.6e-05,5.6e-05~5.6e-05
Phoradendron reichenbachianum,1,0.02,0.000325,0.000325,0.000325,0.000325,0.000325~0.000325
Varthemia iphionoides,1,0.02,0.025,0.025,0.025,0.025,0.025~0.025
Elaeagnus angustifolia,1,0.02,0.00024,0.00024,0.00024,0.00024,0.00024~0.00024
Bredemeyera floribunda,1,0.02,0.053,0.053,0.053,0.053,0.053~0.053
Nervilia fordii,1,0.02,0.0004,0.0004,0.0004,0.0004,0.0004~0.0004
Schisandra sphaerandra,1,0.02,2.533589,2.533589,2.533589,2.533589,2.533589~2.533589
Fibraurea recisa,1,0.02,6e-05,6e-05,6e-05,6e-05,6e-05~6e-05
Cephalaria ambrosioides,1,0.02,0.04,0.04,0.04,0.04,0.04~0.04
Symphytum officinale,1,0.02,0.002667,0.002667,0.002667,0.002667,0.002667~0.002667
Cleome gynandra,1,0.02,0.014,0.014,0.014,0.014,0.014~0.014
Clerodendron trichotomum,1,0.02,0.00716,0.00716,0.00716,0.00716,0.00716~0.00716
Suregada angustifolia,1,0.02,0.1025,0.1025,0.1025,0.1025,0.1025~0.1025
Soldanella alpina,1,0.02,0.000427,0.000427,0.000427,0.000427,0.000427~0.000427
Salvia divinorum,1,0.02,0.007857,0.007857,0.007857,0.007857,0.007857~0.007857
Geum japonicum,1,0.02,0.00015,0.00015,0.00015,0.00015,0.00015~0.00015
Bellium bellidioides,1,0.02,0.000429,0.000429,0.000429,0.000429,0.000429~0.000429
Bauhinia variegata,1,0.02,0.0006,0.0006,0.0006,0.0006,0.0006~0.0006
Inga laurina,1,0.02,0.142,0.142,0.142,0.142,0.142~0.142
Xylopia aethiopica,1,0.02,0.007,0.007,0.007,0.007,0.007~0.007
Gnaphalium sylvaticum,1,0.02,0.005,0.005,0.005,0.005,0.005~0.005
Limnophila indica,1,0.02,0.00166,0.00166,0.00166,0.00166,0.00166~0.00166
Polygala amarella,1,0.02,0.005882,0.005882,0.005882,0.005882,0.005882~0.005882
Silene fortunei,1,0.02,0.0028,0.0028,0.0028,0.0028,0.0028~0.0028
Cucurbita foetidissima,1,0.02,0.003,0.003,0.003,0.003,0.003~0.003
Rhodomyrtus tomentosa,1,0.02,2.1e-05,2.1e-05,2.1e-05,2.1e-05,2.1e-05~2.1e-05
Caesalpinia crista,1,0.02,0.006048,0.006048,0.006048,0.006048,0.006048~0.006048
Sambucus javanica,1,0.02,0.000219,0.000219,0.000219,0.000219,0.000219~0.000219
Scorzonera latifolia,1,0.02,0.000714,0.000714,0.000714,0.000714,0.000714~0.000714
Pittosporum brevicalyx,1,0.02,0.000443,0.000443,0.000443,0.000443,0.000443~0.000443
Toona ciliata,1,0.02,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05~2.4e-05
Leucas zeylanica,1,0.02,0.000775,0.000775,0.000775,0.000775,0.000775~0.000775
Capsicum chinense,1,0.02,0.002317,0.002343,0.00233,0.00233,0.002317~0.002343
Betula papyrifera,1,0.02,0.833333,0.9,0.8666665,0.8666665,0.833333~0.9
Lonicera similis,1,0.02,8.4e-05,9.5e-05,8.950000000000001e-05,8.950000000000001e-05,8.4e-05~9.5e-05
Melodinus fusiformis,1,0.02,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05~4.2e-05
Hippocratea exclesa,1,0.02,0.001127,0.001127,0.001127,0.001127,0.001127~0.001127
Genipa spruceana,1,0.02,0.000467,0.000467,0.000467,0.000467,0.000467~0.000467
Solidago virgaurea,1,0.02,0.000778,0.000778,0.000778,0.000778,0.000778~0.000778
Nandina domestica,1,0.02,0.000315,0.000315,0.000315,0.000315,0.000315~0.000315
Caiophora coronata,1,0.02,0.000292,0.000292,0.000292,0.000292,0.000292~0.000292
Nepeta suavis,1,0.02,0.000275,0.000275,0.000275,0.000275,0.000275~0.000275
Licania tomentosa,1,0.02,0.001,0.001,0.001,0.001,0.001~0.001
Cussonia bojeri,1,0.02,0.006,0.006,0.006,0.006,0.006~0.006
Lygodium flexuosum,1,0.02,0.00135,0.00135,0.00135,0.00135,0.00135~0.00135
Epigynum griffithianum,1,0.02,0.000385,0.000385,0.000385,0.000385,0.000385~0.000385
Eucalyptus cladocalyx,1,0.02,0.001333,0.001333,0.001333,0.001333,0.001333~0.001333
Salvia rosmarinus,1,0.02,0.002,0.002,0.002,0.002,0.002~0.002
Cryptomeria japonica,1,0.02,0.005667,0.005667,0.005667,0.005667,0.005667~0.005667
Poncirus trifoliata,1,0.02,0.0005,0.0005,0.0005,0.0005,0.0005~0.0005
Chenopodium ficifolium,1,0.02,0.008471,0.008471,0.008471,0.008471,0.008471~0.008471
Aglaia eximia,1,0.02,0.0021,0.0021,0.0021,0.0021,0.0021~0.0021
Schisandra arisanensis,1,0.02,0.000621,0.000621,0.000621,0.000621,0.000621~0.000621
Pittosporum viridiflorum,1,0.02,0.479705,0.479705,0.479705,0.479705,0.479705~0.479705
Guaiacum officinale,1,0.02,0.00037,0.00037,0.00037,0.00037,0.00037~0.00037
Terminalia alata,1,0.02,0.0495,0.0495,0.0495,0.0495,0.0495~0.0495
